id	name	kind
Anatomy::UBERON:0000002	uterine cervix	Anatomy
Anatomy::UBERON:0000004	nose	Anatomy
Anatomy::UBERON:0000006	islet of Langerhans	Anatomy
Anatomy::UBERON:0000007	pituitary gland	Anatomy
Anatomy::UBERON:0000010	peripheral nervous system	Anatomy
Anatomy::UBERON:0000011	parasympathetic nervous system	Anatomy
Anatomy::UBERON:0000013	sympathetic nervous system	Anatomy
Anatomy::UBERON:0000016	endocrine pancreas	Anatomy
Anatomy::UBERON:0000017	exocrine pancreas	Anatomy
Anatomy::UBERON:0000020	sense organ	Anatomy
Anatomy::UBERON:0000022	feather	Anatomy
Anatomy::UBERON:0000026	appendage	Anatomy
Anatomy::UBERON:0000029	lymph node	Anatomy
Anatomy::UBERON:0000033	head	Anatomy
Anatomy::UBERON:0000038	follicular fluid	Anatomy
Anatomy::UBERON:0000042	serous membrane	Anatomy
Anatomy::UBERON:0000043	tendon	Anatomy
Anatomy::UBERON:0000044	dorsal root ganglion	Anatomy
Anatomy::UBERON:0000045	ganglion	Anatomy
Anatomy::UBERON:0000053	macula lutea	Anatomy
Anatomy::UBERON:0000054	macula	Anatomy
Anatomy::UBERON:0000056	ureter	Anatomy
Anatomy::UBERON:0000057	urethra	Anatomy
Anatomy::UBERON:0000159	anal canal	Anatomy
Anatomy::UBERON:0000160	intestine	Anatomy
Anatomy::UBERON:0000165	mouth	Anatomy
Anatomy::UBERON:0000167	oral cavity	Anatomy
Anatomy::UBERON:0000178	blood	Anatomy
Anatomy::UBERON:0000211	ligament	Anatomy
Anatomy::UBERON:0000473	testis	Anatomy
Anatomy::UBERON:0000474	female reproductive system	Anatomy
Anatomy::UBERON:0000482	basal lamina of epithelium	Anatomy
Anatomy::UBERON:0000483	epithelium	Anatomy
Anatomy::UBERON:0000916	abdomen	Anatomy
Anatomy::UBERON:0000922	embryo	Anatomy
Anatomy::UBERON:0000923	germ layer	Anatomy
Anatomy::UBERON:0000924	ectoderm	Anatomy
Anatomy::UBERON:0000925	endoderm	Anatomy
Anatomy::UBERON:0000926	mesoderm	Anatomy
Anatomy::UBERON:0000939	imaginal disc	Anatomy
Anatomy::UBERON:0000941	cranial nerve II	Anatomy
Anatomy::UBERON:0000945	stomach	Anatomy
Anatomy::UBERON:0000946	cardiac valve	Anatomy
Anatomy::UBERON:0000948	heart	Anatomy
Anatomy::UBERON:0000949	endocrine system	Anatomy
Anatomy::UBERON:0000955	brain	Anatomy
Anatomy::UBERON:0000956	cerebral cortex	Anatomy
Anatomy::UBERON:0000959	optic chiasma	Anatomy
Anatomy::UBERON:0000964	cornea	Anatomy
Anatomy::UBERON:0000965	lens of camera-type eye	Anatomy
Anatomy::UBERON:0000966	retina	Anatomy
Anatomy::UBERON:0000970	eye	Anatomy
Anatomy::UBERON:0000974	neck	Anatomy
Anatomy::UBERON:0000975	sternum	Anatomy
Anatomy::UBERON:0000976	humerus	Anatomy
Anatomy::UBERON:0000977	pleura	Anatomy
Anatomy::UBERON:0000978	leg	Anatomy
Anatomy::UBERON:0000979	tibia	Anatomy
Anatomy::UBERON:0000981	femur	Anatomy
Anatomy::UBERON:0000982	skeletal joint	Anatomy
Anatomy::UBERON:0000985	axillary vein	Anatomy
Anatomy::UBERON:0000988	pons	Anatomy
Anatomy::UBERON:0000989	penis	Anatomy
Anatomy::UBERON:0000990	reproductive system	Anatomy
Anatomy::UBERON:0000991	gonad	Anatomy
Anatomy::UBERON:0000992	ovary	Anatomy
Anatomy::UBERON:0000993	oviduct	Anatomy
Anatomy::UBERON:0000995	uterus	Anatomy
Anatomy::UBERON:0000996	vagina	Anatomy
Anatomy::UBERON:0000997	mammalian vulva	Anatomy
Anatomy::UBERON:0000998	seminal vesicle	Anatomy
Anatomy::UBERON:0000999	ejaculatory duct	Anatomy
Anatomy::UBERON:0001000	vas deferens	Anatomy
Anatomy::UBERON:0001003	skin epidermis	Anatomy
Anatomy::UBERON:0001004	respiratory system	Anatomy
Anatomy::UBERON:0001007	digestive system	Anatomy
Anatomy::UBERON:0001008	renal system	Anatomy
Anatomy::UBERON:0001009	circulatory system	Anatomy
Anatomy::UBERON:0001011	hemolymph	Anatomy
Anatomy::UBERON:0001013	adipose tissue	Anatomy
Anatomy::UBERON:0001016	nervous system	Anatomy
Anatomy::UBERON:0001017	central nervous system	Anatomy
Anatomy::UBERON:0001021	nerve	Anatomy
Anatomy::UBERON:0001031	sheath of Schwann	Anatomy
Anatomy::UBERON:0001037	strand of hair	Anatomy
Anatomy::UBERON:0001040	yolk sac	Anatomy
Anatomy::UBERON:0001042	chordate pharynx	Anatomy
Anatomy::UBERON:0001043	esophagus	Anatomy
Anatomy::UBERON:0001044	saliva-secreting gland	Anatomy
Anatomy::UBERON:0001049	neural tube	Anatomy
Anatomy::UBERON:0001051	hypopharynx	Anatomy
Anatomy::UBERON:0001052	rectum	Anatomy
Anatomy::UBERON:0001054	Malpighian tubule	Anatomy
Anatomy::UBERON:0001057	corpus allatum	Anatomy
Anatomy::UBERON:0001064	ventral pancreatic duct	Anatomy
Anatomy::UBERON:0001066	intervertebral disk	Anatomy
Anatomy::UBERON:0001067	vertebral arch joint	Anatomy
Anatomy::UBERON:0001070	external carotid artery	Anatomy
Anatomy::UBERON:0001072	posterior vena cava	Anatomy
Anatomy::UBERON:0001088	urine	Anatomy
Anatomy::UBERON:0001089	sweat	Anatomy
Anatomy::UBERON:0001090	synovial fluid	Anatomy
Anatomy::UBERON:0001091	calcareous tooth	Anatomy
Anatomy::UBERON:0001092	vertebral bone 1	Anatomy
Anatomy::UBERON:0001093	vertebral bone 2	Anatomy
Anatomy::UBERON:0001098	incisor tooth	Anatomy
Anatomy::UBERON:0001103	diaphragm	Anatomy
Anatomy::UBERON:0001105	clavicle bone	Anatomy
Anatomy::UBERON:0001111	intercostal muscle	Anatomy
Anatomy::UBERON:0001130	vertebral column	Anatomy
Anatomy::UBERON:0001132	parathyroid gland	Anatomy
Anatomy::UBERON:0001135	smooth muscle tissue	Anatomy
Anatomy::UBERON:0001137	dorsum	Anatomy
Anatomy::UBERON:0001140	renal vein	Anatomy
Anatomy::UBERON:0001143	hepatic vein	Anatomy
Anatomy::UBERON:0001148	median nerve	Anatomy
Anatomy::UBERON:0001152	cystic duct	Anatomy
Anatomy::UBERON:0001153	caecum	Anatomy
Anatomy::UBERON:0001154	vermiform appendix	Anatomy
Anatomy::UBERON:0001155	colon	Anatomy
Anatomy::UBERON:0001156	ascending colon	Anatomy
Anatomy::UBERON:0001157	transverse colon	Anatomy
Anatomy::UBERON:0001158	descending colon	Anatomy
Anatomy::UBERON:0001159	sigmoid colon	Anatomy
Anatomy::UBERON:0001160	fundus of stomach	Anatomy
Anatomy::UBERON:0001165	pyloric antrum	Anatomy
Anatomy::UBERON:0001166	pylorus	Anatomy
Anatomy::UBERON:0001173	biliary tree	Anatomy
Anatomy::UBERON:0001174	common bile duct	Anatomy
Anatomy::UBERON:0001175	common hepatic duct	Anatomy
Anatomy::UBERON:0001179	peritoneal cavity	Anatomy
Anatomy::UBERON:0001182	superior mesenteric artery	Anatomy
Anatomy::UBERON:0001183	inferior mesenteric artery	Anatomy
Anatomy::UBERON:0001184	renal artery	Anatomy
Anatomy::UBERON:0001193	hepatic artery	Anatomy
Anatomy::UBERON:0001194	splenic artery	Anatomy
Anatomy::UBERON:0001199	mucosa of stomach	Anatomy
Anatomy::UBERON:0001211	Peyer's patch	Anatomy
Anatomy::UBERON:0001212	duodenal gland	Anatomy
Anatomy::UBERON:0001224	renal pelvis	Anatomy
Anatomy::UBERON:0001225	cortex of kidney	Anatomy
Anatomy::UBERON:0001228	renal papilla	Anatomy
Anatomy::UBERON:0001231	nephron tubule	Anatomy
Anatomy::UBERON:0001232	collecting duct of renal tubule	Anatomy
Anatomy::UBERON:0001235	adrenal cortex	Anatomy
Anatomy::UBERON:0001236	adrenal medulla	Anatomy
Anatomy::UBERON:0001237	paraaortic body	Anatomy
Anatomy::UBERON:0001242	intestinal mucosa	Anatomy
Anatomy::UBERON:0001255	urinary bladder	Anatomy
Anatomy::UBERON:0001264	pancreas	Anatomy
Anatomy::UBERON:0001267	femoral nerve	Anatomy
Anatomy::UBERON:0001268	peritoneal fluid	Anatomy
Anatomy::UBERON:0001269	acetabular part of hip bone	Anatomy
Anatomy::UBERON:0001273	ilium	Anatomy
Anatomy::UBERON:0001274	ischium	Anatomy
Anatomy::UBERON:0001275	pubis	Anatomy
Anatomy::UBERON:0001283	bile canaliculus	Anatomy
Anatomy::UBERON:0001285	nephron	Anatomy
Anatomy::UBERON:0001288	loop of Henle	Anatomy
Anatomy::UBERON:0001295	endometrium	Anatomy
Anatomy::UBERON:0001296	myometrium	Anatomy
Anatomy::UBERON:0001300	scrotum	Anatomy
Anatomy::UBERON:0001301	epididymis	Anatomy
Anatomy::UBERON:0001305	ovarian follicle	Anatomy
Anatomy::UBERON:0001310	umbilical artery	Anatomy
Anatomy::UBERON:0001322	sciatic nerve	Anatomy
Anatomy::UBERON:0001323	tibial nerve	Anatomy
Anatomy::UBERON:0001324	common fibular nerve	Anatomy
Anatomy::UBERON:0001343	seminiferous tubule of testis	Anatomy
Anatomy::UBERON:0001347	white adipose tissue	Anatomy
Anatomy::UBERON:0001348	brown adipose tissue	Anatomy
Anatomy::UBERON:0001350	coccyx	Anatomy
Anatomy::UBERON:0001352	external acoustic meatus	Anatomy
Anatomy::UBERON:0001359	cerebrospinal fluid	Anatomy
Anatomy::UBERON:0001361	femoral vein	Anatomy
Anatomy::UBERON:0001365	sacro-iliac joint	Anatomy
Anatomy::UBERON:0001377	quadriceps femoris	Anatomy
Anatomy::UBERON:0001384	primary motor cortex	Anatomy
Anatomy::UBERON:0001393	auditory cortex	Anatomy
Anatomy::UBERON:0001394	axillary artery	Anatomy
Anatomy::UBERON:0001398	brachial artery	Anatomy
Anatomy::UBERON:0001404	radial artery	Anatomy
Anatomy::UBERON:0001406	ulnar artery	Anatomy
Anatomy::UBERON:0001423	radius bone	Anatomy
Anatomy::UBERON:0001424	ulna	Anatomy
Anatomy::UBERON:0001427	radiale	Anatomy
Anatomy::UBERON:0001428	intermedium	Anatomy
Anatomy::UBERON:0001435	carpal bone	Anatomy
Anatomy::UBERON:0001437	epiphysis	Anatomy
Anatomy::UBERON:0001439	compact bone tissue	Anatomy
Anatomy::UBERON:0001443	chest	Anatomy
Anatomy::UBERON:0001446	fibula	Anatomy
Anatomy::UBERON:0001447	tarsal bone	Anatomy
Anatomy::UBERON:0001448	metatarsal bone	Anatomy
Anatomy::UBERON:0001450	calcaneus	Anatomy
Anatomy::UBERON:0001456	face	Anatomy
Anatomy::UBERON:0001460	arm	Anatomy
Anatomy::UBERON:0001461	elbow	Anatomy
Anatomy::UBERON:0001463	manual digit 1	Anatomy
Anatomy::UBERON:0001464	hip	Anatomy
Anatomy::UBERON:0001465	knee	Anatomy
Anatomy::UBERON:0001467	shoulder	Anatomy
Anatomy::UBERON:0001469	sternoclavicular joint	Anatomy
Anatomy::UBERON:0001470	glenohumeral joint	Anatomy
Anatomy::UBERON:0001473	lymphatic vessel	Anatomy
Anatomy::UBERON:0001479	sesamoid bone	Anatomy
Anatomy::UBERON:0001484	articular capsule	Anatomy
Anatomy::UBERON:0001485	knee joint	Anatomy
Anatomy::UBERON:0001486	hip joint	Anatomy
Anatomy::UBERON:0001488	ankle joint	Anatomy
Anatomy::UBERON:0001490	elbow joint	Anatomy
Anatomy::UBERON:0001491	wrist joint	Anatomy
Anatomy::UBERON:0001492	radial nerve	Anatomy
Anatomy::UBERON:0001494	ulnar nerve	Anatomy
Anatomy::UBERON:0001515	thoracic aorta	Anatomy
Anatomy::UBERON:0001516	abdominal aorta	Anatomy
Anatomy::UBERON:0001529	brachiocephalic artery	Anatomy
Anatomy::UBERON:0001530	common carotid artery plus branches	Anatomy
Anatomy::UBERON:0001532	internal carotid artery	Anatomy
Anatomy::UBERON:0001533	subclavian artery	Anatomy
Anatomy::UBERON:0001535	vertebral artery	Anatomy
Anatomy::UBERON:0001544	popliteal vein	Anatomy
Anatomy::UBERON:0001555	digestive tract	Anatomy
Anatomy::UBERON:0001567	cheek	Anatomy
Anatomy::UBERON:0001577	facial muscle	Anatomy
Anatomy::UBERON:0001579	olfactory nerve	Anatomy
